id,subsystem,priority,title,requirement,depends_on,theorem,acceptance_test,status
ZS-BASE-002,Baseline sovereignty,P0,Reasoning allowance preservation,"The treatment arm must not lower the baseline model reasoning ceiling, stop condition, evidence authority, or tool authority. Actual consumption is measured separately.",ZS-CONTRACT-002,Core: Harness Capability Superset; Pareto: Reasoning and Effect Floor,Paired manifest checker fails any run with a smaller reasoning or tool contract.,Not implemented / audit required
ZS-BASE-003,Baseline sovereignty,P0,Fallback reserve,"Before speculation, reserve sufficient time, token, compute, and external-effect budget to restore or execute the baseline path after reusable speculative work is credited.",ZS-BASE-001,Pareto: Baseline-Reserve Feasibility,"Injected late failure still permits baseline completion within the bound, or speculation is refused before it begins.",Not implemented / audit required
ZS-ADAPTER-001,Harness adapters,P0,Stable Zero Execute outer tool,"Expose a small fixed-schema outer operation (conceptually zero.execute) whose tool definition and field order remain stable across tasks. Dynamic project details belong in arguments/results, not in schema mutation.","ZS-KERNEL-007,ZS-CONTRACT-003",Core: Fixed Tool ABI Prefix Anchor; Q99: First-Emission Prefix Immunity,"Tool schema bytes remain identical across 10,000 randomized tasks; added capabilities are versioned rather than reordered in place.",Not implemented / audit required
ZS-ADAPTER-002,Harness adapters,P0,Structured task submission,"Translate harness calls into the canonical Task Contract without loss, implicit defaults, or unrooted side channels.","ZS-ADAPTER-001,ZS-CONTRACT-001",Harness: Harness-Transport Factorization,"Round-trip fixtures preserve every semantic field across CLI, RPC, native plugin, and optional MCP transports.",Not implemented / audit required
ZS-ADAPTER-003,Harness adapters,P0,Typed result envelope,"Return only typed outcomes: Completed, DecisionRequired, EvidenceExpansionRequired, VerificationUnknown, BaselineFallbackRequired, RejectedNoMutation, Cancelled, or FailedNoAuthority.",ZS-KERNEL-004,Core: Harness Decision-Boundary Compression,"Unknown, timeout, cancellation, and verifier disagreement cannot be rendered as Completed.",Not implemented / audit required
ZS-ADAPTER-004,Harness adapters,P0,Opaque continuation handles,"Map a short harness-visible handle to a rooted backend continuation. Handles are tenant/session scoped, revocable, non-authoritative, and resolve only through the backend.","ZS-KERNEL-002,ZS-SESSION-001",Core: Stable-Reference Recovery,Forged/cross-tenant/stale handles fail; valid handles resume identical backend state without retransmitting prior project evidence.,Not implemented / audit required
ZS-ADAPTER-005,Harness adapters,P0,Native-tool coexistence,"Register ZeroStack alongside, not instead of, ordinary read/search/bash/edit tools. The adapter must not hide or shadow native tools unless the user explicitly configures it.",ZS-BASE-001,Core: Harness Capability Superset,Model can select either path in the same session; disabling adapter leaves native functionality unchanged.,Not implemented / audit required
ZS-ADAPTER-006,Harness adapters,P1,Cancellation and deadline propagation,"Propagate cancellation, deadlines, and budget changes into backend execution while preserving no-partial-authority semantics.",ZS-KERNEL-008,Harness: Atomic No-Partial-Authority,"Cancel during read, build, test, verify, and commit; authoritative root remains valid and receipts record cancellation.",Not implemented / audit required
ZS-ADAPTER-007,Harness adapters,P1,Streaming without transcript flooding,Permit progress streaming to the UI or logs while keeping model-visible results bounded and stable. Progress events must not become semantic prompt content unless deliberately promoted.,ZS-ADAPTER-003,Q99: CCNF; Core: Stable-Reference Recovery,A long build produces large UI logs but a bounded model result plus exact expansion handle.,Not implemented / audit required
ZS-ADAPTER-008,Harness adapters,P1,Cross-harness semantic/render split,Store harness-independent semantic decision views and derive canonical harness-specific renderings under renderer roots.,"ZS-KERNEL-007,ZS-CONTRACT-003",Core/Harness: Cross-Harness Semantic Factorization,Switching Pi/Codex/Claude/Cursor adapters reuses semantic roots; only render cache is invalidated.,Not implemented / audit required
ZS-ADAPTER-009,Harness adapters,P2,Adapter conformance suite,"Run the same rooted task through every adapter and compare protected outcome, project root, receipts, decision boundaries, and semantic resource projection.","ZS-ADAPTER-002,ZS-ADAPTER-008",Harness: Harness-Transport Factorization,All adapters pass golden semantic equivalence; transport overhead differences are reported separately.,Not implemented / audit required
ZS-SESSION-001,Session/continuation,P0,Rooted continuation state,"Persist task root, project root, evidence roots, decision state, candidate state, verifier state, baseline reserve, and resource ledger under one continuation root.","ZS-KERNEL-002,ZS-KERNEL-006",Core: Stable-Reference Recovery,Resume after process restart produces identical state and does not require replaying model-visible history.,Not implemented / audit required
ZS-SESSION-002,Session/continuation,P0,Continuation state machine,"Implement explicit states: Bound, Snapshotted, Resolved, DecisionRequired, Planned, Executing, DeltaSealed, Verifying, Authorized, Committed, Restored, Rejected, Unknown, Cancelled.","ZS-KERNEL-006,ZS-SESSION-001",Harness: Atomic No-Partial-Authority,Every event has a total allowed-transition check; illegal transitions are rejected and audited.,Not implemented / audit required
ZS-SESSION-003,Session/continuation,P1,Branching continuations,Create child continuations for alternative plans or model candidates without mutating the parent; permit convergence only through rooted equivalence/merge rules.,ZS-SESSION-001,Q99: Branch Convergence Reuse,Parallel branches can execute and one verified child can commit; losing branches leave no authority.,Not implemented / audit required
ZS-SESSION-004,Session/continuation,P1,Continuation compaction without semantic loss,Compact internal event logs only after sealing a snapshot/root from which all authoritative state and audit obligations remain recoverable. Never rewrite provider-visible history to achieve backend log compaction.,ZS-KERNEL-006,Q99: Retrospective Rewrite Cache-Break Characterization,Replay before/after internal compaction yields identical authoritative state and audit roots.,Not implemented / audit required
ZS-STORE-001,Object store / FSZero,P0,Immutable content-addressed object store,"Store exact bytes, parsed artifacts, graph fragments, results, receipts, deltas, and views by root. Objects are immutable; updates create new roots.",ZS-KERNEL-002,Q99: Causal Cache Soundness,Put/get round trips preserve exact bytes; attempted overwrite under same root is rejected.,Not implemented / audit required
ZS-STORE-002,Object store / FSZero,P0,Project snapshots,"Construct immutable project snapshots covering files, modes, symlinks, relevant metadata, dependency lockfiles, toolchain contracts, and declared external inputs.","ZS-STORE-001,ZS-CONTRACT-001",Core: Snap-to-Edit; Q99: causal keys,Changing any covered project input changes snapshot root; excluded metadata is explicitly declared nonsemantic.,Not implemented / audit required
ZS-STORE-003,Object store / FSZero,P0,Exact reads and spans,"Resolve files and exact source spans against a snapshot root, with preimage roots and path normalization.",ZS-STORE-002,Core: Stable-Reference Recovery,A span fails rather than silently drifting after source changes; line-ending/path alias variants canonicalize correctly.,Not implemented / audit required
ZS-STORE-004,Object store / FSZero,P0,Child sandbox snapshots,"Create writable child workspaces from an immutable parent without modifying the parent. Track every file, process, network, environment, and generated-output effect.",ZS-STORE-002,Harness: Atomic No-Partial-Authority,"Sandbox escape, symlink traversal, undeclared network/process access, and parent writes are blocked or produce Unsafe.",Not implemented / audit required
ZS-STORE-005,Object store / FSZero,P0,Exact delta sealing,"After execution, derive the complete canonical delta including generated files, modes, deletions, renames, formatter changes, and external-effect receipts.",ZS-STORE-004,Harness: Atomic No-Partial-Authority,Independent rescan matches traced delta; hidden/untracked mutation causes verification failure.,Not implemented / audit required
ZS-STORE-006,Object store / FSZero,P0,Atomic compare-and-swap commit,"Commit only when parent root/epoch, authorized delta root, protected scope, nonce, and lease remain exact.","ZS-KERNEL-005,ZS-STORE-005",Harness: Atomic No-Partial-Authority,Two concurrent commits yield one success and one stale-root failure; replayed lease cannot mutate state.,Not implemented / audit required
ZS-STORE-007,Object store / FSZero,P1,Integrity scrubbing and replication,"Periodically verify payload roots, repair from replicas, and distinguish logical L2 availability from physical L3 residency.",ZS-STORE-001,Q99: Provider-Controlled Residency Transposition,Injected corruption is detected before reuse; replica recovery preserves the same root.,Not implemented / audit required
ZS-STORE-008,Object store / FSZero,P1,Retention and garbage collection,"Retain objects reachable from live snapshots, continuations, receipts, authorities, and audit policy. GC must be root-safe and lease-aware.","ZS-STORE-001,ZS-SESSION-001",Q99: logical versus physical warmness,GC never deletes a reachable object; tombstone/reclamation races are fault-tested.,Not implemented / audit required
ZS-STORE-009,Object store / FSZero,P1,Tenant isolation and encryption,"Namespace, authorize, and encrypt objects so roots or handles cannot leak cross-tenant data. Avoid content-dedup side channels across trust domains unless policy permits.",ZS-STORE-001,Systems premise,Cross-tenant handle/root guessing yields no data or timing oracle beyond declared policy.,Not implemented / audit required
ZS-GRAPH-001,GraphZero / indexing,P0,Incremental repository index,"Maintain language-aware files, syntax trees, symbols, references, imports, calls, tests, configuration, build, generated artifacts, and ownership edges under exact snapshot roots.",ZS-STORE-002,Core: Snap-to-Edit,Known benchmark repos reproduce a full-rebuild index exactly after incremental updates.,Not implemented / audit required
ZS-GRAPH-002,GraphZero / indexing,P0,Causal dependency graph,"Represent deterministic constructors and every declared dependency: files, environment, tool versions, network fixtures, clocks/randomness policy, generated files, and verifier inputs.","ZS-GRAPH-001,ZS-KERNEL-003",Q99: Dependency-Complete Invalidation,Synthetic hidden dependency changes cause a miss/Unknown until edge is added; no object outside closure is invalidated unnecessarily in complete fixtures.,Not implemented / audit required
ZS-GRAPH-003,GraphZero / indexing,P0,Dependency assurance lattice,"Grade graph regions as Proved, BoundedComplete, Observed, or Unknown. Only the first two may authorize omission/exact reuse inside their explicit scope.","ZS-GRAPH-002,ZS-KERNEL-004",Core: dynamic-dependency epistemic boundary,Observed-only graph never authorizes exact omission; assurance upgrades require evidence and are revocable.,Not implemented / audit required
ZS-GRAPH-004,GraphZero / indexing,P0,Task-relative causal lens,"Given task contract and candidate plan, return the demanded evidence/write closure, assurance grade, source roots, tests, interfaces, and unresolved ambiguities.","ZS-GRAPH-002,ZS-CONTRACT-001",Core: Snap-to-Edit; Q99: Executable closure,Curated refactor tasks include every actual read/write/test dependency; omitted edge becomes a counterexample.,Not implemented / audit required
ZS-GRAPH-005,GraphZero / indexing,P0,Executable closure checker,"Given known values, cached objects, constructors, and demanded outputs, deterministically verify whether all outputs lie in the derivable closure.",ZS-GRAPH-002,Q99: Executable Causal-Frontier Sufficiency,Checker agrees with exhaustive evaluation on finite DAG fixtures and rejects missing constructors/inputs.,Not implemented / audit required
ZS-GRAPH-006,GraphZero / indexing,P0,Dependency-complete invalidation,"On changed object/contract roots, invalidate the reflexive descendant cone for each authoritative certificate.",ZS-GRAPH-002,Q99: Dependency-Complete Invalidation,Random DAG tests show no affected descendant is reused and no unrelated node loses key identity.,Not implemented / audit required
ZS-GRAPH-007,GraphZero / indexing,P1,Equality-boundary early cutoff,Recompute boundary artifacts and stop downstream propagation when all separating boundary roots equal their prior roots.,ZS-GRAPH-006,Q99: Equality-Boundary Early Cutoff,Syntactic changes yielding equal boundary values preserve downstream cache; unequal value propagates.,Not implemented / audit required
ZS-GRAPH-008,GraphZero / indexing,P1,Counterexample-guided graph refinement,"Capture actual undeclared influences from sandbox traces, add true missing edges, revoke dependent certificates, and retain counterexamples.","ZS-GRAPH-003,ZS-STORE-004",Q99: Finite Dependency-Refinement Convergence,Finite fixture converges after at most number of missing true edges under fair exercise.,Not implemented / audit required
ZS-GRAPH-009,GraphZero / indexing,P1,Cross-branch convergence,Share objects across branches when complete causal key and payload root match; branch name alone is not identity.,"ZS-GRAPH-002,ZS-STORE-001",Q99: Branch Convergence Reuse,Independently built identical branch artifacts deduplicate; different dependencies do not.,Not implemented / audit required
ZS-GRAPH-010,GraphZero / indexing,P2,Dynamic/runtime dependency adapters,"Instrument build systems, test runners, interpreters, compilers, package managers, and selected runtime probes to discover nonstatic dependencies.",ZS-GRAPH-008,Systems premise,Declared bounded domains reach BoundedComplete under adversarial dynamic access tests.,Not implemented / audit required
ZS-VIEW-001,TokenZero / decision views,P0,Semantic decision view,"Construct a harness-independent rooted object containing exact relevant facts, protected uncertainty, candidate choices, evidence roots, and expansion authorities.",ZS-GRAPH-004,Core: Protected Decision-View Minimality,Finite decision-family checker confirms merged states induce identical protected next decisions.,Not implemented / audit required
ZS-VIEW-002,TokenZero / decision views,P0,Stable capsule normal form,Represent large artifacts as causal key + formation receipt + payload root + stable capsule + expansion handle at first model exposure.,"ZS-KERNEL-003,ZS-STORE-001",Q99: Causal Cache Normal Form,Later expansion appends a new rooted result and never rewrites the previously emitted capsule.,Not implemented / audit required
ZS-VIEW-003,TokenZero / decision views,P0,Exact expansion,Resolve every omitted fact through a live rooted handle or return Unknown; never fabricate a summary-only recovery path.,ZS-VIEW-002,Core: Stable-Reference Recovery,Expansion returns exact bytes/facts for original root; stale root is explicit.,Not implemented / audit required
ZS-VIEW-004,TokenZero / decision views,P0,Canonical provider rendering,"Render stable system/tool/schema blocks, task arguments, views, references, and results deterministically for each adapter/model contract.","ZS-KERNEL-001,ZS-CONTRACT-003,ZS-ADAPTER-003",Core: Canonical Rendering Identity; Q99: Rendering Fragmentation Penalty,Repeated rendering under randomized process/map order is byte-identical.,Not implemented / audit required
ZS-VIEW-005,TokenZero / decision views,P0,Append-only model history policy,Never retrospectively replace provider-visible prior messages or tool results. Evidence refinement appends a new message/reference under a new root.,"ZS-VIEW-002,ZS-VIEW-004",Q99: First-Emission Prefix Immunity,Longest common prefix of successive histories equals full previous history except provider/harness-required dynamic envelope fields explicitly excluded from the cache key.,Not implemented / audit required
ZS-VIEW-006,TokenZero / decision views,P1,Stable capsule admission policy,"Estimate raw-vs-capsule horizon cost, expansion probability, handling cost, and complete resource vector before choosing indirection.",ZS-METRIC-001,Q99: Stable-Capsule Admission,Replay data predicts which representation wins; policy can be disabled when expansion burden dominates.,Not implemented / audit required
ZS-VIEW-007,TokenZero / decision views,P1,Volatility-aware commutative prefix ordering,"Inside semantically commutative blocks, order long/stable material before volatile material according to measured survival score; never reorder noncommutative messages.",ZS-VIEW-004,Q99: Expected Prefix-Survival Ordering,Exhaustive small permutations confirm maximum expected prefix survival; semantic-order tests prevent illegal reordering.,Not implemented / audit required
ZS-VIEW-008,TokenZero / decision views,P1,Per-model token accounting,Count rendered tokens with the provider/model tokenizer when available and retain byte counts when not. Bind counting method/version in ledgers.,ZS-CONTRACT-002,Pareto: complete resource vector,Golden prompt fixtures match provider usage within documented accounting boundaries.,Not implemented / audit required
ZS-VIEW-009,TokenZero / decision views,P1,Decision-view sufficiency check,"For finite or verifier-covered domains, prove the complete compatibility set maps to one protected decision; otherwise return Unknown/expand.","ZS-VIEW-001,ZS-KERNEL-004",Core: Stable-View Sufficiency,Two compatible hidden states with distinct protected decisions always invalidate the view.,Not implemented / audit required
ZS-EXEC-001,Private composition / Code Mode,P0,Mechanical operation graph,Represent read/search/index/build/test/format/analyze operations and their dependencies as a rooted DAG. Mark any node requiring model semantics as a decision boundary.,ZS-CONTRACT-001,Core: Harness Decision-Boundary Compression,Baseline traces can be annotated and operation graph never crosses a labeled semantic decision without a supplied contingent policy.,Not implemented / audit required
ZS-EXEC-002,Private composition / Code Mode,P0,Private executor,Execute eligible operation DAG nodes without inserting intermediate results into model history; retain exact artifacts and receipts for expansion/audit.,"ZS-EXEC-001,ZS-STORE-004",Harness: Decision-Preserving Private Composition,Model receives same protected decision information as primitive trace on fixture tasks; all intermediates remain recoverable.,Not implemented / audit required
ZS-EXEC-003,Private composition / Code Mode,P0,Decision boundary return,Stop and return DecisionRequired when an unresolved semantic branch appears; include exact alternatives/evidence and continuation handle.,"ZS-EXEC-001,ZS-ADAPTER-003",Core: Adaptive Decision-Round Lower Bound,Adversarial tasks requiring k adaptive decisions produce at least k returns unless model supplied a total contingent policy.,Not implemented / audit required
ZS-EXEC-004,Private composition / Code Mode,P1,Contingent policy execution,Accept a model-supplied finite typed policy over reachable observation classes; verify every action before execution and return on unhandled class.,ZS-EXEC-001,Harness: Contingent-Policy Call Compression,Policy-covered branches stay within one call; injected unhandled observation returns DecisionRequired.,Not implemented / audit required
ZS-EXEC-005,Private composition / Code Mode,P1,Critical-path scheduler,Parallelize independent operations while preserving deterministic semantic outputs and accounting actual work versus model-visible rounds.,ZS-EXEC-001,Core: Mechanical Critical-Path Compression,Parallel schedule matches sequential rooted outputs and reduces wall-clock only where dependencies permit.,Not implemented / audit required
ZS-EXEC-006,Private composition / Code Mode,P1,Tool adapter registry,"Wrap filesystem, search, AST, build, test, package, static-analysis, profiler, and external-service tools under rooted contracts and side-effect policies.","ZS-CONTRACT-003,ZS-STORE-004",Systems premise,Version/tool change invalidates dependent artifacts; undeclared effect is Unsafe.,Not implemented / audit required
ZS-VERIFY-001,Verification,P0,Verifier registry,"Bind verifier identity/version, scope, input roots, result, evidence, runtime, and confidence/assurance grade.","ZS-CONTRACT-004,ZS-KERNEL-003",Core: Guarded publication,Changing verifier version or scope invalidates authority.,Not implemented / audit required
ZS-VERIFY-002,Verification,P0,Current-effect verification,Check build/tests/specification/static/security/performance obligations against the exact candidate delta and sandbox root.,"ZS-STORE-005,ZS-VERIFY-001",Harness: Atomic No-Partial-Authority,Substituting a different delta after verification fails authority validation.,Not implemented / audit required
ZS-VERIFY-003,Verification,P0,Successor-state verification,"Check that the committed state preserves required future interfaces/invariants or remains in the declared simulation relation, not merely that current tests pass.",ZS-VERIFY-002,Core: guarded nonregression,A locally passing edit that breaks a registered future action is rejected in a fixture.,Not implemented / audit required
ZS-VERIFY-004,Verification,P0,Equivalence/dominance verdict,"Return Equivalent, Dominates, Reject, or Unknown under protected scope. Unknown cannot be promoted by planner confidence.","ZS-VERIFY-001,ZS-KERNEL-004",Pareto: Same-Harness Capability Superset,Verifier timeout/disagreement/uncovered dimension yields Unknown.,Not implemented / audit required
ZS-VERIFY-005,Verification,P0,Authority lease issuance,"Issue execution/commit authority only after verifying roots, scope, epoch, delta, verifier receipts, resource reserve, expiry, nonce, and caller identity.","ZS-KERNEL-005,ZS-VERIFY-004",Q99: Lease-Revocation Safety; Harness: Atomic No-Partial-Authority,Replay/expiry/root mismatch/scope mismatch all fail before mutation.,Not implemented / audit required
ZS-VERIFY-006,Verification,P1,Human/user acceptance gate,Represent subjective or policy decisions as explicit DecisionRequired/UserApproval rather than pretending automated equivalence.,"ZS-CONTRACT-004,ZS-ADAPTER-003",Epistemic safety premise,Greenfield/UX task cannot auto-claim subjective superiority without declared evaluator.,Not implemented / audit required
ZS-VERIFY-007,Verification,P1,Proof/evidence cache,"Cache verifier subresults under complete causal keys; invalidate on code, test, tool, environment, verifier, or scope changes and use equality early cutoff.","ZS-KERNEL-003,ZS-GRAPH-006",Q99 causal reuse,Changed unrelated file preserves proof object; changed premise invalidates it.,Not implemented / audit required
ZS-CACHE-001,Causal cache / Q99,P0,Three-layer cache accounting,"Measure L1 provider prefix cache, L2 logical causal-object reuse, and L3 physical residency separately.",ZS-METRIC-001,Q99: Three cache layers,Forced L1 eviction with valid L2 produces provider miss but project logical hit; cold L3 is not mislabeled as L2 miss.,Not implemented / audit required
ZS-CACHE-002,Causal cache / Q99,P0,Provider cache telemetry,"Capture cached-read, cache-write, uncached input, eligible prefix, route/model, TTL mode, cache key, and time-to-first-token when provider exposes them.",ZS-CONTRACT-002,Q99: Provider-Controlled Residency Transposition,"Recorded values reconcile with provider usage response; missing fields are Unknown, not zero.",Not implemented / audit required
ZS-CACHE-003,Causal cache / Q99,P0,Causal reuse telemetry,"For every request, record demanded weighted object set, valid reused set, invalid set, recomputed set, early-cutoff set, and reason codes.","ZS-GRAPH-004,ZS-GRAPH-006",Q99: Weighted Causal Q99,Mass accounting sums exactly and cannot count Unknown/invalid objects as hits.,Not implemented / audit required
ZS-CACHE-004,Causal cache / Q99,P0,Windowed Q99 service metric,"Compute task-weighted reuse in declared sliding windows and report lower windows, post-change recovery, and impossibility events.",ZS-CACHE-003,Q99: Windowed Q99; Adversarial Q99 Impossibility,Central change exceeding 1% mass is reported as Q99 unavailable until threshold work is resolved.,Not implemented / audit required
ZS-CACHE-005,Causal cache / Q99,P1,Time/work to Q99,Track invalid mass resolved over time and compute exact remaining mass required to restore 99% valid reuse.,ZS-CACHE-003,Q99: Q99 Restoration Threshold,Synthetic mutations match formula and never count unresolved mass as hit.,Not implemented / audit required
ZS-CACHE-006,Causal cache / Q99,P1,Rewrite crossover estimator,"Estimate first-use write cost, cached-read cost, suffix size, compaction cost, and remaining reuse horizon before any retrospective representation change. Default remains first-emission stable capsules.",ZS-CACHE-002,Q99: Cache-Compaction Crossover; Horizon-Aware Rewrite Break-Even,Replay experiment predicts observed cost sign across providers/TTLs; no historical rewrite occurs in normal CCNF mode.,Not implemented / audit required
ZS-CACHE-007,Causal cache / Q99,P1,Cache frontier planner,"Propose resident/materialized objects under storage, latency, and invalidation budgets using exact object costs and demand forecasts.","ZS-GRAPH-005,ZS-METRIC-001",Q99: Tree-Optimal Materialization; Frontier Hardness,Tree cases match DP optimum; general proposals pass independent capacity and closure checks even when heuristic.,Not implemented / audit required
ZS-CACHE-008,Causal cache / Q99,P1,Residency policy and prefetch,Separate logical validity from hot placement; prefetch high-hazard/high-demand closures without granting semantic authority based on prediction.,"ZS-CACHE-001,ZS-CACHE-007",Q99: Causal Hazard Bound,Prediction errors alter latency/cost only; invalid object is never served as valid.,Not implemented / audit required
ZS-CACHE-009,Causal cache / Q99,P2,Q99 statistical certification,Compute exact/cluster-aware confidence intervals for hit rate and zero-failure bounds; do not infer universal Q99 from a handful of warm traces.,ZS-CACHE-004,Q99: Zero-Failure Q99 Sample Bound,299 zero-miss independent trials are required for 99% at 95% one-sided support; clustered report uses stricter effective sample.,Not implemented / audit required
ZS-METRIC-001,Accounting / Pareto,P0,Complete resource ledger,"Record calls, tool args/returns, uncached input, cache reads/writes, reasoning, visible output, wire/disk bytes, CPU/GPU, verification, latency, storage, preparation, maintenance, failed speculation, and restoration.",ZS-KERNEL-006,Pareto: Complete Resource Vector,Ledger reconciles to provider bills/system meters within declared tolerances; no hidden uncharged worker.,Not implemented / audit required
ZS-METRIC-002,Accounting / Pareto,P0,Paired baseline manifest,"Run same model, harness, prompt, reasoning allowance, native tools, initial root, acceptance criteria, and meter scope with and without optional ZeroStack.","ZS-CONTRACT-001,ZS-CONTRACT-002,ZS-CONTRACT-003",Evaluation: paired design,Manifest diff must be empty outside treatment availability and randomized run metadata.,Not implemented / audit required
ZS-METRIC-003,Accounting / Pareto,P0,Separate cache metrics,"Report provider prefix ratio, L2 valid causal reuse, L3 hot residency, Boundary-Q99, complete-work ratio, quality regression, strict rescue, and gap closure independently.","ZS-CACHE-001,ZS-METRIC-001",Pareto: Q99 Non-Substitutability,Dashboard/API prevents one metric from being labeled as another.,Not implemented / audit required
ZS-METRIC-004,Accounting / Pareto,P0,Multi-resource feasibility solver,"Given baseline/hit/fallback/preparation intervals and per-coordinate targets, compute exact feasible hit-rate intersection or blocker.",ZS-METRIC-001,Pareto: Multi-Resource Pareto Feasibility; Robust Certificate,Exact rational tests match exhaustive grid; reports coordinate causing impossibility.,Not implemented / audit required
ZS-METRIC-005,Accounting / Pareto,P1,Index amortization,Allocate indexing/object-formation cost over actual reuse campaign and compute strict/Q99 break-even horizons.,ZS-METRIC-001,Pareto: Campaign Break-Even,No warm-run claim omits cold build; denominator nonpositive returns Impossible.,Not implemented / audit required
ZS-METRIC-006,Accounting / Pareto,P1,Frontier Closure decomposition,"Compute normalized preparation, prepared-path, and novelty/fallback terms and identify the largest limiting burden.",ZS-METRIC-001,Pareto: Frontier Closure,Terms are nonnegative and sum to complete optimized/baseline ratio.,Not implemented / audit required
ZS-METRIC-007,Accounting / Pareto,P1,Certified lower-bound ledger,"Store disjoint charging maps for unavoidable request information, decisions, reasoning, verification, output, and effects.",ZS-METRIC-001,Pareto: Disjoint Lower-Bound Composition,Overlap checker rejects double counting; closure Gamma never exceeds 1 under valid data.,Not implemented / audit required
