version,id,title,status,category,disposition,current_authority,source_path
Draft1,COMP-J3,Safe transient adaptation improves generation behind the sovereign firewall,J/E,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-J4,RACC-Native authenticated state ABI enables prepared one-token model invocation,J/E,Other/Research,Optional future optimization; not core architecture,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,EPI-T1,Sound Safe/Unsafe/Unknown assessor plus exact fallback gives protected nonregression,C,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,EPI-T2,Nested persistent sound proof bases produce quality-nondecreasing and cost-nonincreasing deployment,P/C,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,EPI-T3,Complete saving equals certified task mass weighted by per-task saving,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,EPI-T4,Root- and epoch-bound authority plus atomic CAS prevents stale publication,C,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,EPI-J1,Useful proof-base growth expands certifiable safe mass faster than verification overhead,J/E,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,EPI-J2,Typed Unknown reasons improve proof-search allocation and eventual safe coverage,J/E,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,MARGIN-T1,Arbitrary representative recovery is protected-exact iff the uncertainty set lies in one decision cell,P,Harness/Decision,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,MARGIN-T2,Error strictly below protected boundary margin preserves the protected outcome; the strict bound is sharp,P,Approximation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,MARGIN-T3,Weighted component errors below a weighted protected margin compose to protected exactness,P/C,Approximation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,MARGIN-T4,Strictly decreasing convex communication costs admit a KKT-characterized optimal protected distortion allocation,P,Foundations/Capacity,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,MARGIN-T5,Finite exact class-reducing refinement reaches a protected-constant cell in at most outcome-count minus one proper splits,P,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,MARGIN-J1,Coding-agent protected decision cells are much larger than byte-equivalence classes,J/E,Harness/Decision,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,MARGIN-J2,Repository causal structure factorizes useful protected margins into tractable local certificates,J,Approximation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,MARGIN-J3,Neural continuation capsules frequently fall inside certified protected margins,J/E,Harness/Decision,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,FORGE-T1,A complete causal cut makes operator execution protected-equivalent to full-project execution,C,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,FORGE-T2,Sound operators compose when the first postcondition establishes the second precondition and protected successor simulation persists,P/C,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,FORGE-T3,Deterministic strongly noninterfering project operators commute,P/C,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,FORGE-T4,"Sandbox execution, sound verification, successor proof, baseline fallback, and CAS give atomic project nonregression",C,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,FORGE-T5,One model-visible opcode selects prepared project work iff the applicable certified operator table fits the control alphabet,P/C,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,FORGE-T6,"Max-per-task verified operator benefit is monotone submodular, enabling the classical greedy guarantee",P/prior art,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,FORGE-J1,Repeated coding episodes can be compiled into valid reusable project operators at positive rate,J/E,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,FORGE-J2,Operator-first execution improves coding-agent success under the Sovereign baseline firewall,J/E,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,FORGE-J3,Request-local applicable operator alphabets remain bounded on mature projects,J/E,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,CAPITAL-T1,Two-state capture/drift dynamics have the stated closed-form equilibrium and convergence law,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,CAPITAL-T2,"At equilibrium, guarded valid assets weakly improve protected quality and reduce recurring service cost under classwise premises",P/C,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,CAPITAL-T3,"Complete capability overhead must charge maintenance and every capture attempt, including failures",P/C,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,CAPITAL-T4,A verified asset has the stated discounted lifetime value and exact break-even threshold,P,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,CAPITAL-T5,Fresh-only execution with Invalid/Unknown fallback prevents protected regression under drift,C,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,CAPITAL-J1,A useful capability portfolio has reproduction value above invalidation and maintenance burden,J/E,Cache/Q99,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,CAPITAL-J2,Hazard-aware retention dominates recency-based capability eviction,J/E,Cache/Q99,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,CAPITAL-J3,Targeted revalidation can stabilize or raise long-run valid capability coverage under realistic drift,J/E,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft2,L1,Protected future equivalence is a right congruence and its quotient is the minimal exact continuation machine for the declared scope.,P,Harness/Decision,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,L2,"After conditioning on recovered state, the product of informative channel capacities must cover all residual protected classes.",P,Other/Research,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,L3,Sound Safe/Unsafe/Unknown assessment plus exact fallback is protected-nonregressive.,P/C,Recovery/Nondegradation,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,L4,A task-relative view is exact when the protected result factors through it and omitted state remains recoverable.,C,Other/Research,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,L5,A trace-preserving injection of every baseline strategy into the optimized runtime prevents capability loss; guarded selection prevents deployed regression.,P/C,Recovery/Nondegradation,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,L6,Approximate recovery is protected-exact iff its uncertainty envelope lies in one decision cell; metric error strictly below a certified boundary margin is sufficient.,P/C,Harness/Decision,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,L7,"Certified abstract transitions, sandbox isolation, exact deltas, successor checks, and live-root CAS refine the abstract RACC machine.",P/C,Effects/Authority,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,L8,"Protected nonregression plus complete resource accounting and valid asset lifecycle determine whether efficiency and capability claims survive preparation, failure, verification, and drift.",P/C/E,Pareto/Accounting,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,F1,"Complete-work savings converge to 100% iff amortized preparation, prepared-path burden, and novelty/fallback burden all vanish relative to baseline. Certified redundant-gap closure reaches 100% iff optimized work reaches the certified lower bound.",P,Pareto/Accounting,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,F2,"Simultaneous token, byte, latency, compute, storage, and verification targets are feasible exactly when their hit-rate intervals (or general mode polytope) intersect.",P,Other/Research,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft2,F3,"Under a declared acyclic constructor graph, a known/cache set is sufficient iff every required protected output belongs to its least executable closure.",P/C,Cache/Q99,Canonical consolidation lineage; architecture partially superseded by harness correction,"current V6 papers/specs, then Draft5",archive/extracted/Draft2/CLAIM_LEDGER_DRAFT2.md
Draft3,D3-C1,Protected Decision-View Minimality,Proved in stated model,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-C2,Harness Decision-Boundary Compression,Conditional theorem,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-C3,Adaptive Decision-Round Lower Bound,Proved in stated model,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-C4,One-/Two-Call Normal Form,Corollary,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-C5,Harness Interface Saving Identity,Proved / accounting,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-C6,Orthogonal Interface-Compression Composition,Proved / conditional,Other/Research,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-C7,Harness Capability-Superset,Conditional theorem,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-C8,Self-Financing Strict Rescue,Conditional theorem,Other/Research,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-C9,Frontier Closure,Proved in stated model,Pareto/Accounting,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-C10,Certified Redundant-Gap Closure,Proved / accounting,Pareto/Accounting,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-H1,Transport Invariance,Conditional theorem,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-H2,Snap-to-Edit,Conditional theorem,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-H3,Private Composition,Conditional theorem,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-H4,Stateful Composition Dominance,Proved / accounting,Other/Research,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-H5,Verified Harness Capability Compounding,Proved under monotone fresh assets,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-Q1,Provider-Controlled Residency Transposition / Finite-TTL Identity,Proved in stated model,Cache/Q99,Supplementary stochastic model; not universal authority,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-Q2,Poisson Durable-Hit Advantage,Proved in stochastic model,Other/Research,Supplementary stochastic model; not universal authority,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-Q3,Sparse-Delta Q99,Proved / accounting,Cache/Q99,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-Q4,Provider-Miss Insulation,Proved / accounting,Cache/Q99,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-Q5,Exact Q99 Hit-Rate Threshold,Proved / accounting,Cache/Q99,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-P1,Harness Nondegradation,Conditional theorem,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-P2,Strict Protected Pareto Break,Proved from nondegradation and resource premises,Pareto/Accounting,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-P3,Evidence-Superset Capability,Conditional theorem,Recovery/Nondegradation,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-P4,Compression-Dividend Reinvestment,Proved / conditional,Pareto/Accounting,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
